"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aiming","KT Rolster","ADC",24,"50%","50%",98,36,108,5.7,"75.2%","35.8%","13.8%","13%",244,7,11.1,9.7,"31.6%",628,"30.4%","32.8%",323,"28.1%",1,0.65,0.17,0.49
"Aria","KT Rolster","Middle",9,"33%","56%",24,16,42,4.1,"74.2%","27.0%","17.2%","33%",-190,-93,-5.9,9,"26.3%",507,"24.7%","25.8%",266,"23.3%",0,0.78,0.33,0.38
"Bdd","Nongshim RedForce","Middle",22,"23%","55%",49,60,105,2.6,"68.4%","21.8%","19.5%","9%",-22,36,-0.1,8.6,"26.1%",570,"30.0%","31.2%",256,"24.2%",0,0.57,0.28,0.19
"BeryL","DRX","Support",24,"50%","46%",21,74,184,2.8,"72.4%","7.4%","26.9%","25%",243,229,12.2,2.4,"6.9%",180,"8.6%","7.9%",126,"11.3%",0,1.32,0.45,0.38
"Canna","Nongshim RedForce","Top",22,"23%","50%",47,57,94,2.5,"62.7%","20.9%","18.6%","14%",61,14,-0.1,8.5,"27.4%",466,"24.9%","22.4%",261,"24.2%",0,0.41,0.2,0.2
"Canyon","DWG KIA","Jungle",22,"73%","59%",45,42,149,4.6,"70.3%","16.3%","22.5%","23%",-59,44,1.5,7.4,"17.3%",350,"15.6%","16.7%",219,"18.1%",1,0.52,0.38,0.39
"Cheoni","Hanwha Life Esports","ADC",5,"20%","60%",13,13,14,2.1,"71.1%","34.2%","22.0%","40%",-879,-478,-20,8.3,"30.2%",395,"24.6%","26.0%",246,"25.1%",0,0.41,0.14,0.17
"Chovy","Gen.G","Middle",22,"86%","50%",64,22,116,8.2,"62.3%","22.1%","16.5%","14%",205,83,3.8,10.3,"29.8%",629,"28.1%","28.4%",335,"25.5%",0,0.47,0.16,0.43
"Clozer","Liiv SANDBOX","Middle",22,"64%","45%",60,46,113,3.8,"64.3%","22.3%","21.1%","18%",-50,32,0.7,9,"27.1%",555,"27.8%","28.3%",276,"23.6%",0,0.43,0.18,0.24
"Croco","Liiv SANDBOX","Jungle",22,"64%","64%",52,52,136,3.6,"69.9%","19.3%","23.9%","41%",58,21,-1.1,5.9,"14.0%",292,"14.7%","15.6%",202,"17.3%",4,0.32,0.23,0.5
"Cuzz","KT Rolster","Jungle",24,"50%","42%",50,54,140,3.5,"69.3%","18.2%","20.8%","38%",-9,-73,-1,5.9,"13.5%",282,"13.9%","14.8%",191,"16.5%",4,0.37,0.34,0.51
"Deft","DRX","ADC",24,"50%","50%",76,54,120,3.6,"69.3%","26.9%","19.6%","29%",-23,-23,-10.7,7.4,"23.6%",544,"25.5%","25.7%",264,"22.8%",1,0.76,0.22,0.46
"Delight","Fredit BRION","Support",21,"14%","48%",8,53,102,2.1,"75.9%","5.5%","21.2%","33%",-156,-81,-7.8,1.1,"2.9%",112,"7.1%","5.8%",84,"8.2%",0,1.81,0.53,0.43
"deokdam","DWG KIA","ADC",22,"73%","59%",97,35,112,6,"75.7%","35.1%","18.7%","23%",6,42,7.2,9,"29.6%",607,"27.9%","30.1%",310,"26.1%",0,0.49,0.14,0.33
"Doran","Gen.G","Top",22,"86%","73%",54,35,98,4.3,"52.6%","18.7%","26.3%","27%",85,55,1.8,8.9,"24.5%",565,"25.5%","23.5%",301,"22.8%",1,0.43,0.23,0.16
"Dove","Liiv SANDBOX","Top",22,"64%","45%",44,35,120,4.7,"61.0%","16.4%","16.1%","23%",-156,-33,-7.3,7.5,"21.0%",429,"21.9%","19.5%",243,"20.7%",0,0.45,0.23,0.18
"Dread","Nongshim RedForce","Jungle",18,"28%","39%",45,46,92,3,"68.2%","22.4%","19.0%","44%",92,84,0.7,6.5,"14.7%",240,"12.4%","13.1%",187,"17.4%",3,0.46,0.46,0.46
"DuDu","Hanwha Life Esports","Top",26,"27%","50%",51,68,70,1.8,"57.6%","24.3%","19.2%","15%",-33,-1,4.7,8.2,"25.4%",448,"25.0%","22.3%",252,"24.3%",0,0.34,0.2,0.23
"Effort","Nongshim RedForce","Support",19,"26%","26%",12,66,138,2.3,"70.8%","5.7%","25.2%","37%",-1,-10,7.4,1.9,"4.5%",151,"7.8%","7.3%",106,"10.0%",0,1.67,0.53,0.41
"Ellim","Kwangdong Freecs","Jungle",23,"35%","52%",45,61,100,2.4,"70.7%","22.0%","22.6%","35%",-188,-211,-5.7,4.7,"11.3%",180,"10.8%","11.4%",161,"15.3%",3,0.51,0.47,0.42
"Faker","T1","Middle",24,"79%","50%",52,43,134,4.3,"60.2%","16.8%","18.3%","17%",86,62,3.3,8.9,"24.2%",532,"25.4%","27.0%",279,"22.0%",1,0.47,0.23,0.27
