"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Agresivoo","Team BDS","Top",8,"13%","63%",19,21,25,2.1,"66.7%","28.8%","17.8%","13%",-120,5,-0.8,8.5,"29.0%",441,"25.4%","22.6%",244,"25.4%",0,0.38,0.18,0.15
"Alphari","Team Vitality","Top",9,"56%","22%",22,20,35,2.9,"53.3%","20.6%","17.2%","33%",422,74,10.4,8.4,"26.3%",604,"24.7%","22.1%",270,"23.1%",0,0.48,0.15,0.18
"Armut","MAD Lions","Top",9,"67%","22%",24,14,48,5.1,"60.5%","20.2%","16.7%","33%",415,256,6.3,8,"24.6%",529,"27.6%","25.0%",282,"23.8%",1,0.49,0.17,0.19
"Broken Blade","G2 Esports","Top",9,"44%","33%",29,20,60,4.5,"62.2%","20.3%","16.5%","11%",-85,33,-2.2,8.4,"27.8%",537,"23.3%","20.0%",286,"24.4%",0,0.49,0.19,0.15
"caPs","G2 Esports","Middle",9,"44%","44%",46,35,54,2.9,"69.9%","32.2%","28.9%","0%",-61,-91,4.1,8.3,"25.1%",737,"32.2%","33.0%",285,"24.7%",0,0.45,0.08,0.24
"Carzzy","Team Vitality","ADC",9,"56%","33%",21,25,42,2.5,"58.9%","19.6%","21.6%","22%",-104,212,-1.7,7.6,"26.0%",750,"30.6%","32.7%",269,"23.5%",1,0.71,0.12,0.3
"Cinkrof","Team BDS","Jungle",8,"13%","63%",7,29,35,1.4,"63.6%","10.6%","24.6%","50%",-67,-170,-2.5,5.1,"13.6%",212,"11.8%","12.6%",151,"16.2%",0,0.57,0.4,0.44
"Comp","Rogue","ADC",9,"78%","22%",45,17,50,5.6,"79.8%","37.8%","18.3%","22%",221,-45,-1.1,8.1,"28.4%",572,"24.9%","26.8%",313,"25.6%",1,0.61,0.17,0.45
"Dajor","Astralis","Middle",9,"44%","56%",28,22,48,3.5,"69.7%","25.7%","20.2%","11%",-193,12,-8,9.2,"30.6%",652,"28.7%","29.3%",284,"25.8%",0,0.4,0.13,0.2
"Elyoya","MAD Lions","Jungle",9,"67%","56%",25,20,61,4.3,"72.3%","21.0%","23.8%","56%",94,138,2.9,5.8,"17.8%",284,"15.0%","15.2%",216,"18.8%",1,0.4,0.38,0.47
"Erdote","Team BDS","Support",8,"13%","25%",5,19,48,2.8,"80.3%","7.6%","16.1%","38%",115,-16,5.8,1.9,"5.5%",219,"12.0%","10.7%",105,"9.8%",0,1.48,0.55,0.45
"Finn","Excel Esports","Top",9,"56%","78%",17,20,50,3.4,"58.8%","14.9%","21.5%","22%",-36,19,-2.7,8.3,"27.2%",470,"22.0%","18.1%",264,"22.3%",0,0.53,0.25,0.2
"Flakked","G2 Esports","ADC",9,"44%","22%",27,19,66,4.9,"65.0%","18.9%","15.7%","0%",-433,-122,-11.2,8.8,"28.5%",486,"21.1%","23.8%",283,"24.3%",1,0.52,0.18,0.46
"Gadget","SK Gaming","ADC",2,"0%","100%",3,7,7,1.4,"52.6%","15.8%","25.9%","50%",-690,-905,-24.5,6.5,"21.4%",442,"23.5%","23.2%",188,"19.4%",0,0.29,0.1,0.13
"Gilius","SK Gaming","Jungle",8,"25%","38%",9,32,28,1.2,"51.4%","12.5%","32.3%","25%",-171,-80,-4.3,5,"13.4%",229,"13.0%","12.9%",167,"16.3%",0,0.39,0.33,0.48
"Haru","Team Vitality","Jungle",9,"56%","56%",31,23,42,3.2,"68.2%","29.0%","19.8%","33%",-26,-4,-3.1,5.6,"15.9%",289,"12.2%","13.6%",219,"18.8%",1,0.4,0.32,0.36
"Humanoid","Fnatic","Middle",9,"56%","33%",23,16,52,4.7,"65.8%","20.2%","13.8%","11%",89,6,7.1,9.2,"27.6%",751,"33.2%","33.7%",303,"25.6%",0,0.55,0.08,0.33
"Hylissang","Fnatic","Support",9,"56%","67%",4,32,71,2.3,"65.8%","3.5%","27.6%","11%",2,75,-5.3,1,"2.5%",129,"6.2%","5.0%",103,"8.7%",0,1.53,0.42,0.44
"Irrelevant","Misfits Gaming","Top",9,"56%","78%",20,28,54,2.6,"63.2%","17.1%","21.1%","11%",-56,53,-2.3,7.2,"22.0%",456,"21.6%","18.8%",237,"21.4%",0,0.27,0.14,0.22
"Jankos","G2 Esports","Jungle",9,"44%","78%",27,28,72,3.5,"69.2%","18.9%","23.1%","11%",-204,-206,-0.4,5.1,"14.2%",345,"14.6%","14.6%",193,"16.5%",2,0.49,0.29,0.51
"JeongHoon","Astralis","Support",9,"44%","67%",16,25,70,3.4,"78.9%","14.7%","22.9%","33%",-78,-151,-16.1,0.9,"2.1%",194,"8.6%","7.6%",105,"9.5%",0,2,0.47,0.37
"Jezu","SK Gaming","ADC",6,"33%","33%",14,12,16,2.5,"56.6%","26.4%","16.7%","0%",-143,-271,-4.3,9,"30.0%",455,"26.9%","29.1%",274,"25.1%",0,0.34,0.15,0.26
"JNX","SK Gaming","Top",8,"25%","75%",14,14,31,3.2,"62.5%","19.4%","14.1%","25%",-127,-48,-2.9,8.6,"28.1%",405,"22.7%","20.3%",252,"24.7%",0,0.46,0.16,0.21
"Kaiser","MAD Lions","Support",9,"67%","44%",5,15,83,5.9,"73.9%","4.2%","17.9%","22%",62,98,2.6,0.7,"2.0%",156,"8.5%","7.2%",106,"9.0%",0,1.4,0.42,0.26
"Kobbe","Astralis","ADC",9,"44%","89%",36,16,47,5.2,"76.1%","33.0%","14.7%","22%",403,349,22.8,9.1,"30.5%",636,"28.3%","29.6%",298,"27.1%",0,0.32,0.06,0.25
"Labrov","Team Vitality","Support",9,"56%","78%",7,28,72,2.8,"73.8%","6.5%","24.1%","22%",-127,-225,9.1,1.8,"3.7%",202,"8.2%","7.5%",122,"10.2%",0,1.49,0.45,0.25
"Larssen","Rogue","Middle",9,"78%","44%",27,16,63,5.6,"75.6%","22.7%","17.2%","11%",153,85,3.6,9.4,"28.5%",669,"28.3%","29.2%",320,"26.0%",0,0.33,0.07,0.18
"Malrang","Rogue","Jungle",9,"78%","67%",17,22,73,4.1,"75.6%","14.3%","23.7%","56%",-269,-394,-11.1,4.6,"12.0%",311,"14.0%","14.5%",185,"15.2%",1,0.65,0.4,0.43
"Markoon","Excel Esports","Jungle",9,"56%","33%",35,15,48,5.5,"72.8%","30.7%","16.1%","67%",206,85,5.2,5.4,"15.0%",363,"17.4%","17.9%",219,"18.9%",0,0.28,0.27,0.46
"Mersa","Misfits Gaming","Support",9,"56%","56%",6,33,86,2.8,"78.6%","5.1%","24.8%","33%",9,-159,5,1.7,"4.6%",134,"6.2%","5.7%",105,"9.4%",0,1.39,0.42,0.31
"Mikyx","Excel Esports","Support",9,"56%","22%",1,27,84,3.1,"74.6%","0.9%","29.0%","44%",-155,-241,-11.9,0.7,"2.0%",159,"7.5%","6.6%",98,"8.4%",0,1.76,0.42,0.38
"Neon","Misfits Gaming","ADC",9,"56%","33%",32,19,45,4.1,"65.8%","27.4%","14.3%","22%",51,-80,-7.2,7.5,"25.9%",615,"28.0%","29.0%",280,"24.3%",0,0.55,0.15,0.39
"Nisqy","MAD Lions","Middle",9,"67%","89%",23,20,70,4.7,"78.2%","19.3%","23.8%","56%",91,-61,1.7,8,"24.1%",429,"22.0%","22.3%",257,"22.0%",0,0.47,0.26,0.17
"NUCLEARINT","Team BDS","Middle",8,"13%","63%",18,25,28,1.8,"69.7%","27.3%","21.2%","13%",-104,-74,-7.8,8.5,"27.3%",503,"26.9%","28.7%",244,"25.3%",0,0.39,0.21,0.23
"nukeduck","Excel Esports","Middle",9,"56%","33%",23,15,59,5.5,"71.9%","20.2%","16.1%","33%",66,-23,-6.3,8.6,"25.3%",488,"23.4%","23.7%",269,"23.0%",0,0.39,0.13,0.17
"Odoamne","Rogue","Top",9,"78%","33%",21,17,50,4.2,"59.7%","17.6%","18.3%","44%",180,63,3.9,8.4,"25.4%",551,"24.2%","21.6%",291,"22.8%",0,0.33,0.06,0.13
"Patrik","Excel Esports","ADC",9,"56%","78%",38,16,39,4.8,"67.5%","33.3%","17.2%","33%",118,-72,8.1,9.4,"30.5%",625,"29.7%","33.6%",314,"27.3%",0,0.44,0.17,0.23
"Perkz","Team Vitality","Middle",9,"56%","44%",26,20,43,3.5,"64.5%","24.3%","17.2%","22%",152,213,10.4,9.1,"28.1%",599,"24.4%","24.2%",283,"24.4%",0,0.44,0.14,0.26
"Razork","Fnatic","Jungle",9,"56%","22%",29,31,45,2.4,"64.9%","25.4%","26.7%","33%",226,205,2.2,5,"13.4%",318,"14.1%","12.7%",189,"15.9%",3,0.41,0.35,0.47
"Sertuss","SK Gaming","Middle",8,"25%","63%",27,17,18,2.6,"62.5%","37.5%","17.2%","25%",7,47,-5.1,8.8,"27.1%",458,"26.7%","28.3%",270,"25.8%",0,0.56,0.23,0.28
"Shlatan","Misfits Gaming","Jungle",9,"56%","67%",27,31,52,2.5,"67.5%","23.1%","23.3%","44%",20,187,5.3,5.5,"16.4%",350,"15.5%","16.8%",206,"18.4%",0,0.46,0.35,0.26
"Targamas","G2 Esports","Support",9,"44%","44%",14,19,95,5.7,"76.2%","9.8%","15.7%","0%",-66,-14,6.6,1.3,"4.5%",209,"8.8%","8.7%",118,"10.2%",0,1.31,0.29,0.35
"Treatz","SK Gaming","Support",8,"25%","38%",5,17,46,3,"70.8%","6.9%","17.2%","13%",116,287,2,1,"3.5%",207,"11.5%","10.9%",101,"9.6%",0,1.53,0.41,0.33
"Trymbi","Rogue","Support",9,"78%","56%",9,21,78,4.1,"73.1%","7.6%","22.6%","11%",148,375,3.2,2.2,"5.7%",195,"8.6%","7.9%",134,"10.4%",0,1.21,0.28,0.34
"UNF0RGIVEN","MAD Lions","ADC",9,"67%","56%",42,15,41,5.5,"69.7%","35.3%","17.9%","11%",-153,-51,-4.4,8.9,"31.6%",538,"26.8%","30.3%",312,"26.4%",0,0.36,0.15,0.38
"Upset","Fnatic","ADC",9,"56%","78%",37,11,34,6.5,"62.3%","32.5%","9.5%","0%",269,207,14.8,9.4,"30.6%",614,"26.3%","29.5%",319,"26.8%",1,0.46,0.09,0.27
"Vetheo","Misfits Gaming","Middle",9,"56%","33%",32,22,53,3.9,"72.6%","27.4%","16.5%","33%",-210,-117,-1.1,9.3,"31.0%",626,"28.7%","29.7%",301,"26.5%",0,0.51,0.16,0.35
