"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"0909","Oh My God","Middle",3,"33%","67%",5,7,14,2.7,"79.2%","20.8%","20.6%",,,,,7.8,,293,"19.6%",,220,"20.9%",,0.55,0.28,0.24
"369","JD Gaming","Top",30,"70%","53%",95,64,207,4.7,"61.3%","19.3%","19.9%",,,,,8.5,,613,"25.7%",,302,"23.5%",,0.35,0.13,0.17
"Able","Oh My God","ADC",28,"50%","54%",113,71,137,3.5,"71.6%","32.4%","18.6%",,,,,8.8,,539,"26.1%",,306,"26.6%",,0.77,0.11,0.51
"Ahn","Invictus Gaming","ADC",9,"33%","67%",37,29,43,2.8,"80.8%","37.4%","19.7%",,,,,9.1,,575,"29.5%",,313,"28.6%",,0.42,0.11,0.41
"Ahn","Invictus Gaming","Support",1,"0%","100%",1,8,3,0.5,"80.0%","20.0%","34.8%",,,,,6.7,,296,"16.2%",,167,"18.5%",,0.31,0.03,0
"Aki","Oh My God","Jungle",28,"50%","46%",48,69,163,3.1,"60.5%","13.8%","18.1%",,,,,5.1,,228,"11.0%",,182,"16.0%",,0.35,0.27,0.31
"Ale","LNG Esports","Top",23,"52%","30%",56,64,122,2.8,"61.4%","19.3%","22.2%",,,,,8.2,,472,"21.9%",,259,"22.4%",,0.36,0.17,0.16
"Angel","Weibo Gaming","Middle",29,"52%","41%",70,51,179,4.9,"66.9%","18.8%","15.0%",,,,,8.4,,567,"24.7%",,266,"22.5%",,0.57,0.24,0.35
"Assum","LGD Gaming","ADC",21,"33%","67%",81,69,90,2.5,"72.5%","34.3%","22.1%",,,,,8.7,,622,"31.0%",,304,"27.9%",,0.39,0.14,0.38
"Beichuan","ThunderTalk Gaming","Jungle",20,"40%","50%",50,45,127,3.9,"70.2%","19.8%","20.2%",,,,,6,,301,"15.7%",,207,"18.0%",,0.33,0.27,0.4
"beishang","Team WE","Jungle",22,"18%","50%",38,72,112,2.1,"78.5%","19.9%","20.8%",,,,,4.9,,209,"11.8%",,171,"16.8%",,0.41,0.38,0.43
"Betty","Anyone's Legend","ADC",24,"63%","38%",101,47,154,5.4,"77.7%","30.8%","17.4%",,,,,7.4,,541,"25.7%",,285,"23.9%",,0.6,0.15,0.5
"Bin","Bilibili Gaming","Top",29,"45%","34%",69,73,128,2.7,"57.8%","20.2%","20.6%",,,,,8.9,,575,"27.2%",,296,"25.9%",,0.42,0.14,0.17
"Biubiu","Team WE","Top",22,"18%","50%",38,72,76,1.6,"59.7%","19.9%","20.8%",,,,,8.2,,399,"23.4%",,241,"23.0%",,0.4,0.18,0.17
"Breathe","Royal Never Give Up","Top",23,"61%","30%",59,49,116,3.6,"56.3%","19.0%","18.7%",,,,,8.6,,491,"23.4%",,283,"23.6%",,0.38,0.16,0.2
"can","Bilibili Gaming","Jungle",10,"60%","50%",27,23,66,4,"73.8%","21.4%","20.4%",,,,,5.1,,320,"13.6%",,182,"16.1%",,0.47,0.34,0.37
"Care","FunPlus Phoenix","Middle",26,"46%","38%",68,63,140,3.3,"67.1%","21.9%","18.4%",,,,,8.1,,492,"23.5%",,249,"21.6%",,0.45,0.19,0.36
"Chelizi","LGD Gaming","Top",5,"20%","100%",11,19,19,1.6,"63.8%","23.4%","21.1%",,,,,8.2,,507,"23.1%",,258,"23.0%",,0.38,0.1,0.25
"Clid","FunPlus Phoenix","Jungle",26,"46%","46%",74,67,149,3.3,"71.9%","23.9%","19.5%",,,,,5.2,,275,"13.4%",,202,"17.4%",,0.47,0.36,0.37
"COLD","Oh My God","Support",24,"50%","54%",16,91,205,2.4,"72.7%","5.3%","27.9%",,,,,1.3,,146,"7.4%",,107,"9.4%",,1.64,0.55,0.23
"Creme","Oh My God","Middle",25,"52%","36%",78,67,128,3.1,"63.4%","24.0%","19.3%",,,,,8.4,,649,"31.6%",,279,"24.2%",,0.44,0.14,0.24
"Crisp","Bilibili Gaming","Support",29,"45%","38%",24,78,241,3.4,"77.7%","7.0%","22.0%",,,,,1.3,,160,"7.4%",,105,"9.1%",,1.65,0.51,0.42
"Cryin","Ultra Prime","Middle",22,"36%","64%",56,59,105,2.7,"65.2%","22.7%","17.6%",,,,,8.2,,606,"28.5%",,254,"23.5%",,0.38,0.12,0.18
"Cube","Rare Atom","Top",24,"33%","58%",41,68,91,1.9,"51.2%","15.9%","19.2%",,,,,8.4,,417,"21.3%",,248,"21.9%",,0.43,0.14,0.16
"Doggo","Bilibili Gaming","ADC",23,"39%","57%",76,44,99,4,"68.1%","29.6%","15.2%",,,,,9.6,,561,"26.6%",,299,"26.1%",,0.54,0.19,0.4
"Doinb","LNG Esports","Middle",26,"50%","58%",64,59,161,3.8,"71.2%","20.3%","17.9%",,,,,8.8,,655,"31.2%",,277,"24.3%",,0.46,0.12,0.21
"Dream","Victory Five","Middle",14,"86%","86%",51,22,104,7,"68.0%","22.4%","14.2%",,,,,8.7,,494,"20.9%",,293,"22.8%",,0.28,0.12,0.22
"Elk","Ultra Prime","ADC",22,"36%","59%",64,60,100,2.7,"66.4%","25.9%","17.9%",,,,,8.8,,563,"26.5%",,275,"25.0%",,0.45,0.15,0.46
"fearness","LGD Gaming","Top",16,"38%","50%",40,41,63,2.5,"54.5%","21.2%","18.5%",,,,,8.2,,449,"23.1%",,250,"22.7%",,0.33,0.14,0.19
"Flandre","EDward Gaming","Top",25,"56%","40%",68,61,131,3.3,"66.1%","22.6%","23.0%",,,,,8.8,,541,"24.2%",,291,"24.9%",,0.33,0.13,0.17
"FoFo","Bilibili Gaming","Middle",15,"47%","47%",26,36,104,3.6,"72.6%","14.5%","20.7%",,,,,8.1,,607,"26.3%",,250,"21.5%",,0.42,0.15,0.23
"Forge","Anyone's Legend","Middle",24,"63%","38%",63,46,173,5.1,"72.0%","19.2%","17.0%",,,,,8.5,,471,"22.6%",,258,"22.1%",,0.35,0.16,0.23
"GALA","Royal Never Give Up","ADC",23,"61%","57%",109,40,108,5.4,"69.8%","35.0%","15.3%",,,,,9.1,,595,"27.7%",,316,"26.1%",,0.41,0.1,0.43
"H4cker","Ultra Prime","Jungle",22,"36%","32%",51,60,116,2.8,"67.6%","20.6%","17.9%",,,,,5.2,,246,"12.2%",,190,"17.8%",,0.42,0.29,0.4
"haichao","LGD Gaming","Middle",8,"38%","50%",16,14,40,4,"67.5%","19.3%","13.5%",,,,,8.8,,539,"28.5%",,253,"23.6%",,0.54,0.19,0.24
